﻿início_do_intervalo,fim_do_intervalo,conclusão_do_intervalo,agregado_ou_detalhado,tipo_de_mídia,id_de_fluxo,nome_de_fluxo,versão_de_fluxo,tipo_de_fluxo,entradas,fluxo_médio,desconexão,%_de_desconexão,média_de_desconexões,média_de_saídas,saída_de_fluxo,%_de_saída_de_fluxo,resultado,resultado_médio
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,e7943c81-b68e-4fda-b967-764e88e10bab,autosservicosCalmProd,,Chamada de entrada,541, 00:00:31.494,70.0,0.1293900184842883, 00:00:49.895, 00:00:28.760,471.0,0.8706099815157117,314.0,0.6
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,e7943c81-b68e-4fda-b967-764e88e10bab,autosservicosCalmProd,70.0,Chamada de entrada,541, 00:00:31.494,70.0,0.1293900184842883, 00:00:49.895, 00:00:28.760,471.0,0.8706099815157117,314.0,0.6
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,c5c399a9-0d2b-4ef6-aeb0-2d629e313928,pesquisaCalmV2,,Chamada de entrada,716, 00:00:34.801,716.0,1.0, 00:00:34.801,,,,1309.0,1.8
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,c5c399a9-0d2b-4ef6-aeb0-2d629e313928,pesquisaCalmV2,3.0,Chamada de entrada,716, 00:00:34.801,716.0,1.0, 00:00:34.801,,,,1309.0,1.8
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,05950f4e-eab3-4615-a851-e861a9f83d51,segundaViaBoletoNotaFiscalStatusPedidoProd,,Chamada de entrada,55, 00:00:34.534,28.0,0.509090909090909, 00:00:38.533, 00:00:30.387,27.0,0.4909090909090909,23.0,0.4
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,05950f4e-eab3-4615-a851-e861a9f83d51,segundaViaBoletoNotaFiscalStatusPedidoProd,15.0,Chamada de entrada,55, 00:00:34.534,28.0,0.509090909090909, 00:00:38.533, 00:00:30.387,27.0,0.4909090909090909,23.0,0.4
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,0912e0c7-2e84-4929-96c2-0c95a641357d,transfereCalmProd,,Chamada de entrada,78, 00:00:00.421,,,, 00:00:00.421,78.0,1.0,,0.0
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,0912e0c7-2e84-4929-96c2-0c95a641357d,transfereCalmProd,7.0,Chamada de entrada,78, 00:00:00.421,,,, 00:00:00.421,78.0,1.0,,0.0
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,c30ebbd1-00f4-4dec-9410-2de248698545,transferenciaParaFilaCalmProd,,Chamada de entrada,1218, 00:00:03.930,5.0,0.0041050903119868, 00:00:14.122, 00:00:03.888,,,1218.0,1.0
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,c30ebbd1-00f4-4dec-9410-2de248698545,transferenciaParaFilaCalmProd,13.0,Chamada de entrada,1218, 00:00:03.930,5.0,0.0041050903119868, 00:00:14.122, 00:00:03.888,,,1218.0,1.0
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,c92e4ff1-6580-4589-86e3-86de896bb39c,uraCalmProd,,Chamada de entrada,4479, 00:00:55.423,1910.0,0.4264344719803528, 00:00:46.784, 00:01:01.846,2476.0,0.5528019647242688,29042.0,6.5
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,c92e4ff1-6580-4589-86e3-86de896bb39c,uraCalmProd,34.0,Chamada de entrada,4479, 00:00:55.423,1910.0,0.4264344719803528, 00:00:46.784, 00:01:01.846,2476.0,0.5528019647242688,29042.0,6.5
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,a71ebe81-edfa-45b2-9dfe-a0cd47405c99,uraCancelamentoCalmProd,,Chamada de entrada,66, 00:01:00.997,43.0,0.6515151515151515, 00:01:03.267, 00:00:56.753,23.0,0.3484848484848485,39.0,0.6
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,a71ebe81-edfa-45b2-9dfe-a0cd47405c99,uraCancelamentoCalmProd,14.0,Chamada de entrada,66, 00:01:00.997,43.0,0.6515151515151515, 00:01:03.267, 00:00:56.753,23.0,0.3484848484848485,39.0,0.6
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,voz,591f0771-c342-4cb3-8205-72b93ac45644,uraLogisticaProd,,Chamada de entrada,378, 00:00:23.715,28.0,0.074074074074074, 00:00:15.911, 00:00:24.340,,,3.0,0.0
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,voz,591f0771-c342-4cb3-8205-72b93ac45644,uraLogisticaProd,55.0,Chamada de entrada,378, 00:00:23.715,28.0,0.074074074074074, 00:00:15.911, 00:00:24.340,,,3.0,0.0
30/06/25 00:00,01/07/25 00:00,FALSO,Agregar,mensagem,213ae9ff-60f4-43fc-9892-6088bc8e66cb,whatsAppLia_LeroyMerlin,,Mensagem de entrada,1611, 00:00:07.906,2.0,0.0012414649286157, 00:00:00.832, 00:00:07.915,,,2294.0,1.4
30/06/25 00:00,01/07/25 00:00,FALSO,Detalhado,mensagem,213ae9ff-60f4-43fc-9892-6088bc8e66cb,whatsAppLia_LeroyMerlin,121.0,Mensagem de entrada,1611, 00:00:07.906,2.0,0.0012414649286157, 00:00:00.832, 00:00:07.915,,,2294.0,1.4
